BoardSize,Algorithm,NodesExpanded,Pruned,Time,Result
4x4,Minimax,361,0,0.045125484466552734,1
4x4,AlphaBeta,70,16,0.04446530342102051,1
4x4,Minimax,184,0,0.05561232566833496,1
4x4,AlphaBeta,44,13,0.04332256317138672,1
4x4,Minimax,361,0,0.04572415351867676,1
4x4,AlphaBeta,25,7,0.047688961029052734,1
4x4,Minimax,60,0,0.05749702453613281,1
4x4,AlphaBeta,74,20,0.04286384582519531,1
4x4,Minimax,120,0,0.06429719924926758,1
4x4,AlphaBeta,26,8,0.04436445236206055,1
4x4,Minimax,145,0,0.04129672050476074,1
4x4,AlphaBeta,75,17,0.041445016860961914,1
4x4,Minimax,17,0,0.05772542953491211,1
4x4,AlphaBeta,71,19,0.04808759689331055,1
4x4,Minimax,246,0,0.043161869049072266,1
4x4,AlphaBeta,145,32,0.04245185852050781,1
4x4,Minimax,218,0,0.05897092819213867,1
4x4,AlphaBeta,166,37,0.045790672302246094,1
4x4,Minimax,512,0,0.04935765266418457,1
4x4,AlphaBeta,20,5,0.04857468605041504,1
4x5,Minimax,1385,0,0.19916558265686035,1
4x5,AlphaBeta,214,52,0.13961338996887207,1
4x5,Minimax,1207,0,0.25731945037841797,1
4x5,AlphaBeta,217,58,0.18079495429992676,1
4x5,Minimax,1021,0,0.18279647827148438,1
4x5,AlphaBeta,194,81,0.13130402565002441,1
4x5,Minimax,1116,0,0.25833630561828613,1
4x5,AlphaBeta,217,58,0.180772066116333,1
4x5,Minimax,1877,0,0.21513843536376953,1
4x5,AlphaBeta,43,15,0.18804550170898438,1
4x5,Minimax,1276,0,0.19067144393920898,1
4x5,AlphaBeta,387,95,0.1311328411102295,1
4x5,Minimax,2195,0,0.2075943946838379,1
4x5,AlphaBeta,574,143,0.13030433654785156,1
4x5,Minimax,1130,0,0.18191909790039062,1
4x5,AlphaBeta,248,58,0.13966846466064453,1
4x5,Minimax,1877,0,0.21514153480529785,1
4x5,AlphaBeta,396,94,0.19225049018859863,1
4x5,Minimax,2132,0,0.21132922172546387,1
4x5,AlphaBeta,209,44,0.14156723022460938,1
5x6,Minimax,3455,0,1.2334845066070557,1
5x6,AlphaBeta,2742,380,3.0066606998443604,1
5x6,Minimax,6697,0,1.1889946460723877,1
5x6,AlphaBeta,639,154,2.484008550643921,1
5x6,Minimax,5107,0,1.514814853668213,1
5x6,AlphaBeta,5142,736,2.7702465057373047,1
5x6,Minimax,6387,0,1.1817152500152588,1
5x6,AlphaBeta,1077,155,2.5183491706848145,1
5x6,Minimax,4075,0,1.6476855278015137,1
5x6,AlphaBeta,1073,256,2.4880471229553223,1
5x6,Minimax,6638,0,1.189239501953125,1
5x6,AlphaBeta,1036,149,2.222592353820801,1
5x6,Minimax,2907,0,1.8376648426055908,1
5x6,AlphaBeta,235,54,3.1725518703460693,1
5x6,Minimax,5275,0,2.0096046924591064,1
5x6,AlphaBeta,1952,472,2.4872188568115234,1
5x6,Minimax,4116,0,1.718590497970581,1
5x6,AlphaBeta,742,123,2.6135470867156982,1
5x6,Minimax,3720,0,1.8568930625915527,1
5x6,AlphaBeta,1028,285,4.477599859237671,1
6x7,Minimax,10533,0,3.8755111694335938,1
6x7,AlphaBeta,11126,1376,6.262513160705566,1
6x7,Minimax,14790,0,4.266154766082764,1
6x7,AlphaBeta,2062,257,14.796626329421997,1
6x7,Minimax,10534,0,3.837449312210083,1
6x7,AlphaBeta,5572,867,6.031921625137329,1
6x7,Minimax,10507,0,3.971358060836792,1
6x7,AlphaBeta,2062,257,14.121204137802124,1
6x7,Minimax,10281,0,5.936674118041992,1
6x7,AlphaBeta,9966,1395,19.488152503967285,1
6x7,Minimax,14785,0,4.341447114944458,1
6x7,AlphaBeta,2022,252,6.186996936798096,1
6x7,Minimax,12797,0,8.606706142425537,1
6x7,AlphaBeta,3987,688,13.020497560501099,1
6x7,Minimax,13630,0,6.296623229980469,1
6x7,AlphaBeta,1713,408,10.039238452911377,1
